29,对于Linux，以下哪种说法是错误的? ,1,,14,,,,,,,Linux是一套免费使用和自由传播的类Unix操作系统,Linux提供强大的应用程序开发环境，支持多种编程语言,Linux提供对TCP/IP协议的完全支持,Linux内核不支持IP服务质量控制
30,对于HP-UX，以下哪种说法是错误的? ,1,,11,,,,,,,HP-UX是IBM公司的高性能Unix,大部分HP高性能工作站预装了HP-UX,HP-UX符合POSIX标准,HP-UX的出色功能使其在金融领域广泛应用 
31,对于Solaris，以下哪种说法是错误的? ,1,,14,,,,,,,Solaris是SUN公司的高性能Unix,Solaris运行在许多RISC工作站和服务器上,Solaris支持多处理、多线程,Solaris不支持Intel平台 
32,对于因特网，以下哪种说法是错误的? ,1,,13,,,,,,,因特网是一个广域网,因特网内部包含大量的路由设备,因特网是一个信息资源网,因特网的使用者不必关心因特网的内部结构 
33,在因特网中，信息资源和服务的载体是 ,1,,14,,,,,,,集线器,交换机,路由器,主机 
34,关于IP协议，以下哪种说法是错误的? ,1,,13,,,,,,,IP协议是一种互联网协议,IP协议定义了IP数据报的具体格式,IP协议要求下层必须使用相同的物理网络,IP协议为传输层提供服务 
35,如果借用一个C类IP地址的3位主机号部分划分子网，那么子网屏蔽码应该是 ,1,,12,,,,,,,255.255.255.192,255.255.255.224,255.255.255.240,255.255.255.248 
36,在IP数据报中，如果报头长度域的数值为5，那么该报头的长度为多少个8位组?,1,,14,,,,,,,5,10,15,20
37,关于因特网中的主机和路由器，以下哪种说法是错误的? ,1,,13,,,,,,,主机通常需要实现TCP/IP协议,主机通常需要实现IP协议,路由器必须实现TCP协议,路由器必须实现IP协议 
38,在因特网中，请求域名解析的软件必须知道 ,1,,11,,,,,,,根域名服务器的IP地址,任意一个域名服务器的IP地址,根域名服务器的域名,任意一个域名服务器的域名 
39,在Telnet中，引入NVT的主要目的是 ,1,,11,,,,,,,屏蔽不同计算机系统对键盘输入的差异,提升用户使用Telnet的速度,避免用户多次输入用户名和密码,为Telnet增加文件下载功能 
40,因特网用户使用FTP的主要目的是,1,,13,,,,,,,发送和接收即时消息,发送和接收电子邮件,上传和下载文件,获取大型主机的数字证书
41,关于WWW服务系统，以下哪种说法是错误的？,1,,12,,,,,,,WWW服务采用服务器/客户机工作模式,Web页面采用HTTP书写而成,客户端应用程序通常称为浏览器,页面到页面的链接信息由URL维持
42,因特网用户利用电话网接入ISP时需要使用调制解调器，其主要作用是,1,,11,,,,,,,进行数字信号与模拟信号之间的变换,同时传输数字信号和语音信号,放大数字信号，中继模拟信号,放大模拟信号，中继数字信号
43,在因特网中，一般采用的网络管理模型是 ,1,,13,,,,,,,浏览器/服务器,客户机/服务器,管理者/代理,服务器/防火墙
44,Windows NT操作系统能够达到的最高安全级别是,1,,12,,,,,,,C1,C2,Dl,D2 
45,下面哪种加密算法不属于对称加密?,1,,14,,,,,,,DES,IDEA,TDEA,RSA
46,用户张三给文件服务器发命令，要求将文件“张三.doc”删除。文件服务器上的认证机制需要确定的主要问题是,1,,13,,,,,,,张三是否有删除该文件的权利,张三采用的是哪种加密技术,该命令是否是张三发出的,张三发来的数据是否有病毒 
47,为了确定信息在网络传输过程中是否被他人篡改，一般采用的技术是 ,1,,13,,,,,,,防火墙技术,数据库技术,消息认证技术,文件交换技术
48,KDC分发密钥时，进行通信的两台主机都需要向KDC申请会话密钥。主机与KDC通信时使用的是,1,,13,,,,,,,会话密钮,公开密钥,二者共享的永久密钥,临时密钥
49,张三从CA得到了李四的数字证书，张三可以从该数字证书中得到李四的 ,1,,14,,,,,,,私钥,数字签名,口令,公钥 
50,在进行消息认证时，经常利用安全单向散列函数产生消息摘要。安全单向散列函数不需要具有下面哪个特性?,1,,14,,,,,,,相同输入产生相同输出,提供随机性或者伪随机性,易于实现,根据输出可以确定输入消息 
51,以下关于防火墙技术的描述，哪个是错误的? ,1,,13,,,,,,,防火墙可以对网络服务类型进行控制,防火墙可以对请求服务的用户进行控制,防火墙可以对网络攻击进行反向追踪,防火墙可以对用户如何使用特定服务进行控制
52,Kerberos是一种网络认证协议，它采用的加密算法是,1,,13,,,,,,,RSA,PGP,DES,MD5 
53,关于电子商务，以下哪种说法是错误的? ,1,,14,,,,,,,电子商务是以开放的因特网环境为基础的,电子商务主要是基于浏览器/服务器方式的,电子商务的两种基本形式是B to B与B to C,电子商务活动都涉及到资金的支付与划拨 
54,关于SET协议，以下哪种说法是错误的?,1,,11,,,,,,,SET是为了保证电子现金在因特网上的支付安全而设计的,SET可以保证信息在因特网上传输的安全性,SET能够隔离订单信息和个人账号信息,SET要求软件遵循相同的协议和消息格式 
55,以下哪种不是建立电子政务信息安全基础设施的必要组成部分?,1,,13,,,,,,,安全保密系统,授权管理基础设施,计费系统,公钥基础设施
56,在电子政务的发展过程中，面向数据处理阶段的主要特征是,1,,12,,,,,,,构建“虚拟政府”，推动政府部门之间的协同工作和信息共享,建设政府内部的办公自动化系统和信息管理系统,利用知识管理技术提升政府南决策能力,通过“一站式政府”服务中心提供跨部门的政府业务服务 
57,关于电子商务系统中的支付软件，以下哪种说法是正确的?,1,,11,,,,,,,服务器端和客户端的支付软件都称为电子钱包,服务器端和客户端的支付软件都称为电子柜员机,服务器端的支付软件称为电子钱包，客户端的支付软件称为电子柜员机,服务器端的支付软件称为电子柜员机，客户端的支付软件称为电子钱包 
58,以下关于xDSL技术的说法中，哪个是错误的?,1,,13,,,,,,,xDSL 采用数字用户线路,xDSL可以提供128kbps以上带宽,xDSL的上下行传输必须对称,xDSL接入需要使用调制解调器
59,ATM技术对传输的信元进行CRC校验。此校验是针对,1,,12,,,,,,,信元,仅信元头部,仅载荷,仅信道标识
60,IEEE 802.1lb采用的介质访问控制方式是,1,,14,,,,,,,CSMA/CD,TD-SCDMA,DWDM,CSMA/CA
填空题,填空题分割行,3,,,,,,,,,,,,
61,工作站通常具有很强的图形处理能力，支持______图形端口。 ,6,加速(或AGP加速),加速(或AGP加速),2,,,,,,,,,
62,美国IEEE的一个专门委员会曾经把计算机分为六类：即大型主机、小型计算机、______工作站、巨型计算机和小巨型机。 ,6,个人计算机,个人计算机,,,,,,,,,,
63,按照OSI参考模型，网络中每一个结点都有相同的层次，不同结点的对等层使用相同的______ 。 ,6,协议,协议
64,UDP是一种面向______、不可靠的传输层协议 ,6,无连接,无连接
65,Ethemet的MAC地址长度为______位。 ,6,48,48
66,与共享介质局域网不同，交换式局域网可以通过交换机端口之间的______连接增加局域网的带宽。 ,6,并发,并发
67,以太网交换机的帧转发主要有3种方式，它们是直接交换、改进的直接交换和______交换。 ,6,存储转发,存储转发
68,100BASE-T网卡主要有：______、100BASE-FX、100BASE-T4 和100BASE-T2。 ,6,100BASE-TX,100BASE-TX
69,Novell公司曾经轰动一时的网络操作系统是______，今天仍有6.5版本在使用。 ,6,Netware,Netware
70,Unix系统结构由两部分组成：一部分是内核，另一部分是______。 ,6,核外程序,核外程序
71,IP具有两种广播地址形式，它们是______广播地址和有限广播地址。 ,6,直接,直接
72,下表为一路由器的路由表。如果该路由器接收到一个源IP地址为10.0.0.10、目的IP地址为40.0.0.40 IP数据报，那么它将把此IP数据报投递到______<br />要到达的网络 下一路由器<br />20.0.0.0 直接投递<br />30.0.0.0 直接投递<br />10.0.0.0 20.0.0.5<br />40.0.0.0 30.0.0.7,6,30.0.0.7,30.0.0.7
73,电子邮件应用程序向邮件服务器传送邮件时使用的协议为______。 ,6,SMTP,SMTP
74,网络故障管理的一般步骤包括：发现故障、判断故障、______故障、修复故障、记录故障。 ,6,隔离,隔离
75,在因特网中，SNMP使用的传输层协议是______,6,UDP,UDP
76,当信息从信源向信宿流动时可能会受到攻击。其中中断攻击是破坏系统资源，这是对网络______性的攻击。,6,可用性,可用性
77,Elgamal公钥体制的加密算法具有不确定性，它的密文不仅依赖于待加密的明文，而且依赖于用户选择的______ 。 ,6,随机参数,随机参数
78,电子支付有3种主要方式，它们是电子现金、电子支票和电子______。 ,6,信用卡,信用卡
79,一站式电子政务应用系统的实现流程可以划分为3个阶段，它们是______、服务请求和服务调度及处理。 ,6,身分认证,身分认证
80,SDH自愈环技术要求网络设备具有发现替代______并重新确立通信的能力。,6,传输路由,传输路由
